"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","33180699",NA,NA,NA,NA,NA,NA,"Lancet Respir Med","ppublish",NA,"eng",NA,NA
"2","33180697",NA,NA,NA,NA,NA,NA,"Lancet Respir Med","ppublish",NA,"eng",NA,NA
"3","32944502",NA,NA,NA,NA,NA,NA,"Lancet Respir Med","ppublish",NA,"eng",NA,NA
"4","32738958",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"5","32673583",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"6","32539991",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"7","32534625",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"8","32331797",23,5,2019,15,2,2019,"J Am Acad Dermatol","ppublish",NA,"eng",2019-05-23,2019-02-15
"9","32171434",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"10","32171433",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"11","32171417",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"12","32171416",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"13","32035066",NA,NA,NA,NA,NA,NA,"Lancet Respir Med","ppublish",NA,"eng",NA,NA
"14","32035065",NA,NA,NA,NA,NA,NA,"Lancet Respir Med","ppublish",NA,"eng",NA,NA
"15","31982044",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"16","31982043",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"17","31948783",NA,NA,NA,NA,NA,NA,"J Am Acad Dermatol","ppublish",NA,"eng",NA,NA
"18","31876508",NA,NA,NA,NA,NA,NA,"Lancet Infect Dis","ppublish",NA,"eng",NA,NA
"19","31876507",NA,NA,NA,NA,NA,NA,"Lancet Infect Dis","ppublish",NA,"eng",NA,NA
"20","31876506",NA,NA,NA,NA,NA,NA,"Lancet Infect Dis","ppublish",NA,"eng",NA,NA
"21","31876505",NA,NA,NA,NA,NA,NA,"Lancet Infect Dis","ppublish",NA,"eng",NA,NA
"22","31859164",30,8,2019,22,3,2019,"J Microbiol Immunol Infect","ppublish",NA,"eng",2019-08-30,2019-03-22
"23","31831303",1,9,2019,12,6,2019,"J Microbiol Immunol Infect","ppublish",NA,"eng",2019-09-01,2019-06-12
"24","31813733",30,9,2019,13,3,2019,"J Microbiol Immunol Infect","ppublish",NA,"eng",2019-09-30,2019-03-13
"25","31806539",27,10,2019,27,9,2019,"J Microbiol Immunol Infect","ppublish",NA,"eng",2019-10-27,2019-09-27
"26","31796238",30,10,2019,5,10,2019,"J Hosp Infect","ppublish",NA,"eng",2019-10-30,2019-10-05
"27","31796218",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"28","31795515",26,11,2019,22,10,2019,"J Clin Med","epublish",NA,"eng",2019-11-26,2019-10-22
"29","31795407",23,11,2019,30,10,2019,"J Clin Med","epublish",NA,"eng",2019-11-23,2019-10-30
"30","31795401",18,11,2019,12,9,2019,"J Clin Med","epublish",NA,"eng",2019-11-18,2019-09-12
"31","31795342",19,11,2019,10,10,2019,"J Clin Med","epublish",NA,"eng",2019-11-19,2019-10-10
"32","31795241",20,1,2019,27,10,2019,"J Clin Med","epublish",NA,"eng",2019-01-20,2019-10-27
"33","31795155",21,11,2019,23,9,2019,"J Clin Med","epublish",NA,"eng",2019-11-21,2019-09-23
"34","31794868",27,11,2019,31,5,2019,"Int J Antimicrob Agents","ppublish",NA,"eng",2019-11-27,2019-05-31
"35","31794859",27,11,2019,5,11,2019,"Int J Infect Dis","ppublish",NA,"eng",2019-11-27,2019-11-05
"36","31794775",15,11,2019,17,7,2019,"J Infect","ppublish",NA,"eng",2019-11-15,2019-07-17
"37","31791831",NA,NA,NA,NA,NA,NA,"Travel Med Infect Dis","ppublish",NA,"eng",NA,NA
"38","31791824",8,6,2019,23,1,2019,"J Am Acad Dermatol","ppublish",NA,"eng",2019-06-08,2019-01-23
"39","31791690",18,11,2019,5,9,2019,"Lancet","ppublish",NA,"eng",2019-11-18,2019-09-05
"40","31791689",10,10,2019,7,10,2019,"Lancet","ppublish",NA,"eng",2019-10-10,2019-10-07
"41","31791688",19,9,2019,16,7,2019,"Lancet","ppublish",NA,"eng",2019-09-19,2019-07-16
"42","31791687",18,11,2019,4,11,2019,"Lancet","ppublish",NA,"eng",2019-11-18,2019-11-04
"43","31791686",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"44","31790814",26,11,2019,10,10,2019,"Int J Infect Dis","ppublish",NA,"eng",2019-11-26,2019-10-10
"45","31790747",25,11,2019,21,10,2019,"J Hosp Infect","ppublish",NA,"eng",2019-11-25,2019-10-21
"46","31790746",25,11,2019,27,8,2019,"J Hosp Infect","ppublish",NA,"eng",2019-11-25,2019-08-27
"47","31790745",25,11,2019,3,9,2019,"J Hosp Infect","ppublish",NA,"eng",2019-11-25,2019-09-03
"48","31790744",25,11,2019,4,9,2019,"J Hosp Infect","ppublish",NA,"eng",2019-11-25,2019-09-04
"49","31790743",25,11,2019,12,10,2019,"J Hosp Infect","ppublish",NA,"eng",2019-11-25,2019-10-12
"50","31790708",26,11,2019,23,11,2019,"J Infect","ppublish",NA,"eng",2019-11-26,2019-11-23
"51","31790707",26,11,2019,18,11,2019,"J Infect","ppublish",NA,"eng",2019-11-26,2019-11-18
"52","31790706",26,11,2019,24,11,2019,"J Infect","ppublish",NA,"eng",2019-11-26,2019-11-24
"53","31790705",26,11,2019,20,11,2019,"J Infect","ppublish",NA,"eng",2019-11-26,2019-11-20
"54","31789221",22,10,2019,5,9,2019,"Lancet","ppublish",NA,"eng",2019-10-22,2019-09-05
"55","31789220",21,11,2019,19,1,2018,"Lancet","ppublish",NA,"eng",2019-11-21,2018-01-19
"56","31789219",30,8,2019,13,6,2019,"Lancet","ppublish",NA,"eng",2019-08-30,2019-06-13
"57","31789218",30,8,2019,3,7,2019,"Lancet","ppublish",NA,"eng",2019-08-30,2019-07-03
"58","31789217",12,9,2019,19,8,2019,"Lancet","ppublish",NA,"eng",2019-09-12,2019-08-19
"59","31789216",12,9,2019,10,5,2019,"Lancet","ppublish",NA,"eng",2019-09-12,2019-05-10
"60","31789215",12,9,2019,12,8,2019,"Lancet","ppublish",NA,"eng",2019-09-12,2019-08-12
"61","31789214",28,8,2019,7,8,2019,"Lancet","ppublish",NA,"eng",2019-08-28,2019-08-07
"62","31789213",12,9,2019,1,5,2019,"Lancet","ppublish",NA,"eng",2019-09-12,2019-05-01
"63","31789212",28,8,2019,9,7,2019,"Lancet","ppublish",NA,"eng",2019-08-28,2019-07-09
"64","31789211",28,8,2019,8,5,2019,"Lancet","ppublish",NA,"eng",2019-08-28,2019-05-08
"65","31789210",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"66","31789209",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"67","31789208",25,11,2019,25,11,2019,"Lancet","ppublish",NA,"eng",2019-11-25,2019-11-25
"68","31789207",21,10,2019,21,8,2019,"Lancet","ppublish",NA,"eng",2019-10-21,2019-08-21
"69","31789206",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"70","31789205",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"71","31789204",NA,NA,NA,NA,NA,NA,"Lancet","ppublish",NA,"eng",NA,NA
"72","31787487",NA,NA,NA,NA,NA,NA,"Lancet Infect Dis","ppublish",NA,"eng",NA,NA
"73","31786332",24,11,2019,7,8,2019,"Int J Antimicrob Agents","ppublish",NA,"eng",2019-11-24,2019-08-07
"74","31786281",27,11,2019,29,8,2019,"Travel Med Infect Dis","ppublish",NA,"eng",2019-11-27,2019-08-29
"75","31786246",25,11,2019,23,10,2019,"Int J Infect Dis","ppublish",NA,"eng",2019-11-25,2019-10-23
