"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","34871545",2,12,2021,2,12,2021,"Lancet","aheadofprint",NA,"eng",2021-12-02,2021-12-02
"2","34871544",21,8,2021,5,5,2021,"Lancet Respir Med","aheadofprint",NA,"eng",2021-08-21,2021-05-05
"3","34866013",10,11,2021,14,9,2021,"J Microbiol Immunol Infect","aheadofprint",NA,"eng",2021-11-10,2021-09-14
"4","34864193",28,11,2021,25,7,2021,"Int J Infect Dis","aheadofprint",NA,"eng",2021-11-28,2021-07-25
"5","34863925",29,11,2021,29,11,2021,"Int J Infect Dis","aheadofprint",NA,"eng",2021-11-29,2021-11-29
"6","34863874",22,11,2021,30,9,2021,"J Hosp Infect","aheadofprint",NA,"eng",2021-11-22,2021-09-30
"7","34863358",19,11,2021,4,11,2021,"Lancet","aheadofprint",NA,"eng",2021-11-19,2021-11-04
"8","34863346",15,10,2021,14,10,2021,"Lancet","ppublish",NA,"eng",2021-10-15,2021-10-14
"9","34863335",21,11,2021,19,11,2021,"Lancet Respir Med","aheadofprint",NA,"eng",2021-11-21,2021-11-19
"10","34863332",28,10,2021,24,8,2021,"Lancet Respir Med","aheadofprint",NA,"eng",2021-10-28,2021-08-24
"11","34862628",NA,NA,NA,NA,NA,NA,"J Med Virol","aheadofprint",NA,"eng",NA,NA
"12","34862624",NA,NA,NA,NA,NA,NA,"J Med Virol","aheadofprint",NA,"eng",NA,NA
"13","34862623",NA,NA,NA,NA,NA,NA,"J Med Virol","aheadofprint",NA,"eng",NA,NA
"14","34862617",NA,NA,NA,NA,NA,NA,"J Med Virol","aheadofprint",NA,"eng",NA,NA
"15","34862613",NA,NA,NA,NA,NA,NA,"J Med Virol","aheadofprint",NA,"eng",NA,NA
"16","34861416",25,11,2021,5,4,2020,"Travel Med Infect Dis","aheadofprint",NA,"eng",2021-11-25,2020-04-05
"17","34861351",27,11,2021,22,11,2021,"J Infect","aheadofprint",NA,"eng",2021-11-27,2021-11-22
"18","34861315",24,11,2021,2,10,2021,"J Hosp Infect","aheadofprint",NA,"eng",2021-11-24,2021-10-02
"19","34861313",24,11,2021,7,11,2021,"J Hosp Infect","aheadofprint",NA,"eng",2021-11-24,2021-11-07
"20","34861181",10,11,2021,8,11,2021,"Lancet Respir Med","aheadofprint",NA,"eng",2021-11-10,2021-11-08
"21","34861180",27,10,2021,10,9,2021,"Lancet Respir Med","aheadofprint",NA,"eng",2021-10-27,2021-09-10
"22","34861160",29,9,2021,28,9,2021,"Lancet Respir Med","ppublish",NA,"eng",2021-09-29,2021-09-28
