"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","34872162",19,11,2021,23,10,2021,"Br J Haematol","aheadofprint",NA,"eng",2021-11-19,2021-10-23
"2","34872154",NA,NA,NA,NA,NA,NA,"Psychother Psychosom Med Psychol","ppublish",NA,"ger",NA,NA
"3","34872152",NA,NA,NA,NA,NA,NA,"Psychother Psychosom Med Psychol","ppublish",NA,"ger",NA,NA
"4","34872145",NA,NA,NA,NA,NA,NA,"Rev Bras Ginecol Obstet","ppublish",NA,"eng",NA,NA
"5","34872143",NA,NA,NA,NA,NA,NA,"Rev Bras Ginecol Obstet","ppublish",NA,"eng",NA,NA
"6","34872142",NA,NA,NA,NA,NA,NA,"Rev Bras Ginecol Obstet","ppublish",NA,"eng",NA,NA
"7","34872136",NA,NA,NA,NA,NA,NA,"Rev Bras Ginecol Obstet","ppublish",NA,"eng",NA,NA
"8","34872130",NA,NA,NA,NA,NA,NA,"Fortschr Neurol Psychiatr","ppublish",NA,"ger",NA,NA
"9","34872129",NA,NA,NA,NA,NA,NA,"Fortschr Neurol Psychiatr","ppublish",NA,"ger",NA,NA
"10","34872115",NA,NA,NA,NA,NA,NA,"Zentralbl Chir","ppublish",NA,"ger",NA,NA
"11","34872114",NA,NA,NA,NA,NA,NA,"Zentralbl Chir","ppublish",NA,"ger",NA,NA
"12","34872113",NA,NA,NA,NA,NA,NA,"Zentralbl Chir","ppublish",NA,"ger",NA,NA
"13","34872103",2,12,2021,16,11,2021,"Blood Adv","aheadofprint",NA,"eng",2021-12-02,2021-11-16
"14","34872098",29,11,2021,15,10,2021,"Chemotherapy","aheadofprint",NA,"eng",2021-11-29,2021-10-15
"15","34872049",16,9,2021,26,7,2021,"J Natl Compr Canc Netw","ppublish",NA,"eng",2021-09-16,2021-07-26
"16","34872014",13,11,2021,28,7,2021,"J Crit Care","aheadofprint",NA,"eng",2021-11-13,2021-07-28
"17","34871969",28,11,2021,12,10,2021,"Asian J Psychiatr","aheadofprint",NA,"eng",2021-11-28,2021-10-12
"18","34871968",28,11,2021,4,11,2021,"Asian J Psychiatr","aheadofprint",NA,"eng",2021-11-28,2021-11-04
"19","34871960",18,11,2021,20,7,2021,"EBioMedicine","aheadofprint",NA,"eng",2021-11-18,2021-07-20
"20","34871947",29,11,2021,10,9,2021,"Respir Med","aheadofprint",NA,"eng",2021-11-29,2021-09-10
"21","34871945",14,11,2021,22,7,2021,"Int J Drug Policy","aheadofprint",NA,"eng",2021-11-14,2021-07-22
"22","34871942",12,11,2021,8,10,2020,"Epidemics","aheadofprint",NA,"eng",2021-11-12,2020-10-08
"23","34871906",27,11,2021,26,10,2021,"J Clin Virol","aheadofprint",NA,"eng",2021-11-27,2021-10-26
"24","34871905",19,11,2021,27,7,2021,"Virology","aheadofprint",NA,"eng",2021-11-19,2021-07-27
"25","34871874",19,11,2021,30,4,2021,"Psychiatry Res","aheadofprint",NA,"eng",2021-11-19,2021-04-30
"26","34871866",20,11,2021,27,8,2021,"Talanta","aheadofprint",NA,"eng",2021-11-20,2021-08-27
"27","34871853",28,11,2021,28,6,2021,"Soc Sci Med","aheadofprint",NA,"eng",2021-11-28,2021-06-28
"28","34871815",19,11,2021,20,7,2021,"Biomed J","aheadofprint",NA,"eng",2021-11-19,2021-07-20
