"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","32276298",8,4,2020,4,4,2020,"Dermatologic therapy","aheadofprint","United States","eng",2020-04-08,2020-04-04
"2","32276290",8,4,2020,19,3,2020,"Dermatologic therapy","aheadofprint","United States","eng",2020-04-08,2020-03-19
"3","32276282",NA,NA,NA,NA,NA,NA,"American journal of perinatology","aheadofprint","United States","eng",NA,NA
"4","32276261",NA,NA,NA,NA,NA,NA,"Journal of neurosurgery","aheadofprint","United States","eng",NA,NA
"5","32276260",NA,NA,NA,NA,NA,NA,"Journal of neurosurgery","aheadofprint","United States","eng",NA,NA
"6","32276259",NA,NA,NA,NA,NA,NA,"Journal of neurosurgery","aheadofprint","United States","eng",NA,NA
"7","32276256",NA,NA,NA,NA,NA,NA,"Journal of neurosurgery. Pediatrics","aheadofprint","United States","eng",NA,NA
"8","32276196",21,3,2020,18,3,2020,"Psychiatry research","aheadofprint","Ireland","eng",2020-03-21,2020-03-18
"9","32276140",4,4,2020,1,4,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-04,2020-04-01
"10","32276139",6,4,2020,26,3,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-06,2020-03-26
"11","32276137",4,4,2020,30,3,2020,"Clinical immunology (Orlando, Fla.)","aheadofprint","United States","eng",2020-04-04,2020-03-30
"12","32276116",2,4,2020,3,3,2020,"Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases","aheadofprint","England","eng",2020-04-02,2020-03-03
"13","32276102",26,3,2020,19,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-26,2020-03-19
"14","32276101",27,3,2020,24,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-27,2020-03-24
"15","32276099",30,3,2020,26,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-26
"16","32276097",30,3,2020,26,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-26
"17","32276095",30,3,2020,24,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-30,2020-03-24
"18","32276093",23,3,2020,21,3,2020,"Journal of pain and symptom management","aheadofprint","United States","eng",2020-03-23,2020-03-21
"19","32276051",27,3,2020,25,3,2020,"The Journal of molecular diagnostics : JMD","aheadofprint","United States","eng",2020-03-27,2020-03-25
"20","32276044",30,3,2020,22,3,2020,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","aheadofprint","Canada","eng",2020-03-30,2020-03-22
"21","32276031",1,4,2020,31,3,2020,"American journal of kidney diseases : the official journal of the National Kidney Foundation","aheadofprint","United States","eng",2020-04-01,2020-03-31
"22","32276030",4,4,2020,1,4,2020,"Brain, behavior, and immunity","aheadofprint","Netherlands","eng",2020-04-04,2020-04-01
"23","32275978",3,4,2020,2,4,2020,"Chest","aheadofprint","United States","eng",2020-04-03,2020-04-02
"24","32275971",3,4,2020,2,4,2020,"Metabolism: clinical and experimental","aheadofprint","United States","eng",2020-04-03,2020-04-02
"25","32275925",18,3,2020,16,3,2020,"The Journal of infection","aheadofprint","England","eng",2020-03-18,2020-03-16
"26","32275914",3,4,2020,26,3,2020,"Antiviral research","aheadofprint","Netherlands","eng",2020-04-03,2020-03-26
"27","32275870",30,3,2020,27,3,2020,"The Lancet. Infectious diseases","aheadofprint","United States","eng",2020-03-30,2020-03-27
"28","32275869",1,4,2020,12,3,2020,"The Lancet. Infectious diseases","aheadofprint","United States","eng",2020-04-01,2020-03-12
"29","32275868",25,3,2020,21,3,2020,"The Lancet. Infectious diseases","aheadofprint","United States","eng",2020-03-25,2020-03-21
"30","32275858",1,4,2020,26,3,2020,"The Lancet. Public health","aheadofprint","England","eng",2020-04-01,2020-03-26
"31","32275857",6,4,2020,1,4,2020,"The Lancet. Public health","aheadofprint","England","eng",2020-04-06,2020-04-01
"32","32275856",30,3,2020,28,3,2020,"The Lancet. Respiratory medicine","aheadofprint","England","eng",2020-03-30,2020-03-28
"33","32275855",19,3,2020,28,2,2020,"Cell","aheadofprint","United States","eng",2020-03-19,2020-02-28
"34","32275812",NA,NA,NA,NA,NA,NA,"The New England journal of medicine","aheadofprint","United States","eng",NA,NA
"35","32275805",2,4,2020,17,3,2020,"Emergency medicine Australasia : EMA","aheadofprint","Australia","eng",2020-04-02,2020-03-17
"36","32275804",NA,NA,NA,NA,NA,NA,"EMBO molecular medicine","aheadofprint","England","eng",NA,NA
"37","32275803",NA,NA,NA,NA,NA,NA,"Obesity (Silver Spring, Md.)","aheadofprint","United States","eng",NA,NA
"38","32275795",NA,NA,NA,NA,NA,NA,"BJU international","aheadofprint","England","eng",NA,NA
"39","32275792",NA,NA,NA,NA,NA,NA,"BJU international","aheadofprint","England","eng",NA,NA
"40","32275784",NA,NA,NA,NA,NA,NA,"Hepatology (Baltimore, Md.)","aheadofprint","United States","eng",NA,NA
"41","32275775",NA,NA,NA,NA,NA,NA,"International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics","aheadofprint","United States","eng",NA,NA
"42","32275770",NA,NA,NA,NA,NA,NA,"Anaesthesia","aheadofprint","England","eng",NA,NA
"43","32275766",NA,NA,NA,NA,NA,NA,"Anaesthesia","aheadofprint","England","eng",NA,NA
