"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","32276049",30,3,2020,22,5,2019,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-30,2019-05-22
"2","32276045",1,4,2020,25,1,2020,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","aheadofprint","Canada","eng",2020-04-01,2020-01-25
"3","32276043",1,4,2020,25,3,2020,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","aheadofprint","Canada","eng",2020-04-01,2020-03-25
"4","32275872",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","aheadofprint","United States","eng",NA,NA
"5","32275871",18,2,2020,7,2,2020,"The Lancet. Infectious diseases","aheadofprint","United States","eng",2020-02-18,2020-02-07
"6","32275867",10,10,2019,12,6,2019,"The Lancet. Infectious diseases","aheadofprint","United States","eng",2019-10-10,2019-06-12
"7","32275859",NA,NA,NA,NA,NA,NA,"Lancet (London, England)","aheadofprint","England","eng",NA,NA
"8","32275083",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"9","32275071",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"10","32272789",6,4,2020,5,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-06,2020-03-05
"11","32272783",6,4,2020,6,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-06,2020-03-06
"12","32272775",3,4,2020,2,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-03-02
"13","32272762",6,4,2020,7,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-06,2020-03-07
"14","32272760",31,3,2020,28,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-02-28
"15","32272758",3,4,2020,14,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-14
"16","32272752",6,4,2020,15,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-06,2020-03-15
"17","32272750",30,3,2020,17,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-02-17
"18","32272722",2,4,2020,3,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-03-03
"19","32272721",17,3,2020,7,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-17,2020-02-07
"20","32272692",1,4,2020,24,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-03-24
"21","32272684",6,4,2020,24,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-06,2020-02-24
"22","32272665",4,4,2020,4,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-04,2020-03-04
"23","32272606",2,4,2020,9,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-03-09
"24","32272578",3,4,2020,1,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-03-01
"25","32272263",26,3,2020,21,1,2020,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","aheadofprint","Canada","eng",2020-03-26,2020-01-21
"26","32272261",24,3,2020,13,2,2020,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","aheadofprint","Canada","eng",2020-03-24,2020-02-13
"27","32272176",30,3,2020,22,4,2019,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-30,2019-04-22
"28","32272079",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","aheadofprint","United States","eng",NA,NA
"29","32270883",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"30","32270511",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"31","32268542",3,4,2020,19,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-19
"32","32268533",3,4,2020,27,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-27
"33","32268517",3,4,2020,16,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-03-16
"34","32268516",3,4,2020,17,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-17
"35","32268490",30,3,2020,9,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-03-09
"36","32268170",27,3,2020,13,12,2019,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-27,2019-12-13
"37","32268169",30,3,2020,12,1,2020,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-30,2020-01-12
"38","32268167",30,3,2020,10,9,2019,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-30,2019-09-10
"39","32266999",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"40","32266997",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"41","32266996",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"42","32266989",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"43","32265181",8,3,2020,13,11,2019,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","aheadofprint","England","eng",2020-03-08,2019-11-13
"44","32260592",2,4,2020,15,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-03-15
"45","32260590",31,3,2020,8,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-03-08
"46","32260587",3,4,2020,9,3,2020,"Journal of clinical medicine","epublish","United States","eng",2020-04-03,2020-03-09
"47","32260581",3,4,2020,26,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-26
"48","32260538",27,3,2020,26,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-27,2020-02-26
"49","32260508",3,4,2020,25,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-03,2020-02-25
"50","32260488",1,4,2020,18,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-02-18
"51","32260434",2,4,2020,7,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-03-07
"52","32260419",1,4,2020,18,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-02-18
"53","32260409",2,4,2020,1,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-02-01
"54","32260343",31,3,2020,23,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-02-23
"55","32260311",28,3,2020,13,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-28,2020-03-13
"56","32260289",31,3,2020,12,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-02-12
"57","32260206",30,3,2020,22,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-02-22
"58","32260184",31,3,2020,18,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-02-18
"59","32260182",2,4,2020,10,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-02,2020-03-10
"60","32260139",1,4,2020,28,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-02-28
"61","32260124",31,3,2020,5,3,2020,"Journal of clinical medicine","epublish","United States","eng",2020-03-31,2020-03-05
"62","32260102",1,4,2020,24,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-03-24
"63","32260087",31,3,2020,12,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-03-12
"64","32259535",21,3,2020,12,12,2019,"Journal of the American Academy of Dermatology","aheadofprint","United States","eng",2020-03-21,2019-12-12
"65","32255500",NA,NA,NA,NA,NA,NA,"Journal of medical virology","aheadofprint","United States","eng",NA,NA
"66","32253142",16,3,2020,17,12,2019,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","aheadofprint","England","eng",2020-03-16,2019-12-17
"67","32252463",1,4,2020,16,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-03-16
"68","32252449",1,4,2020,26,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-03-26
"69","32252444",31,3,2020,22,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-02-22
"70","32252441",1,4,2020,2,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-03-02
"71","32252438",31,3,2020,21,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-03-21
"72","32252429",30,3,2020,5,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-03-05
"73","32252426",1,4,2020,11,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-02-11
"74","32252424",31,3,2020,5,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-31,2020-03-05
"75","32252423",24,3,2020,18,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-24,2020-02-18
"76","32252419",30,3,2020,27,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-02-27
"77","32252416",30,3,2020,20,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-02-20
"78","32252414",1,4,2020,21,2,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-04-01,2020-02-21
"79","32252404",30,3,2020,5,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-03-05
"80","32252398",30,3,2020,12,3,2020,"Journal of clinical medicine","epublish","Switzerland","eng",2020-03-30,2020-03-12
