"","PMID","DayAccepted","MonthAccepted","YearAccepted","DayReceived","MonthReceived","YearReceived","Journal","PublicationStatus","Country","Language","YMD_Accepted","YMD_Received"
"1","31876508",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","ppublish","United States","eng",NA,NA
"2","31876507",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","ppublish","United States","eng",NA,NA
"3","31876506",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","ppublish","United States","eng",NA,NA
"4","31876505",NA,NA,NA,NA,NA,NA,"The Lancet. Infectious diseases","ppublish","United States","eng",NA,NA
"5","31513926",6,9,2019,5,9,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-09-06,2019-09-05
"6","31505267",6,9,2019,5,9,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-09-06,2019-09-05
"7","31499237",5,9,2019,5,9,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-09-05,2019-09-05
"8","31494225",4,9,2019,4,9,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-09-04,2019-09-04
"9","31472285",26,8,2019,1,8,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-08-26,2019-08-01
"10","31437538",19,8,2019,1,3,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-08-19,2019-03-01
"11","31377463",10,7,2019,21,2,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-10,2019-02-21
"12","31344521",17,7,2019,17,7,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-17,2019-07-17
"13","31336179",19,7,2019,9,2,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-19,2019-02-09
"14","31330301",18,7,2019,18,7,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-18,2019-07-18
"15","31326532",17,7,2019,16,7,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-17,2019-07-16
"16","31302226",9,7,2019,9,7,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-09,2019-07-09
"17","31284067",3,7,2019,18,6,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-03,2019-06-18
"18","31279917",3,7,2019,4,4,2019,"Travel medicine and infectious disease","ppublish","Netherlands","eng",2019-07-03,2019-04-04
